title,link,description,pubDate,creator
"Male Dolphins Offer Likely Love Token to Females in Rare Video",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/F41RiHc9quU/,,"2017-10-20 10:01:23","John Pickrell"
"Witness the Harrowing Capture of a Wild Sloth for the Black Market",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/qpYvy_kfj1w/,,"2017-10-20 00:01:13","Natasha Daly"
"Why This Massive Mud Volcano Turned Deadly",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/ep6E9AlLhcc/,,"2017-10-19 21:35:22","Sarah Gibbens"
"Kiwi Coffin Club Throws Glitter on the Idea of Dying",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/HisS1XTIHG0/,,"2017-10-19 20:52:37","Austa Somvichian-Clausen"
"Explore Your Favorite Movie Worlds Through Beautiful, Hand-Painted Maps",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/x56Aiu3RbRE/,,"2017-10-19 18:04:00","Betsy Mason"
"Great Tits May Be Evolving Bigger Beaks. Here's Why.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/RVqSAAiNyzY/,,"2017-10-19 18:00:00","Jason Bittel"
"This Saber-Toothed Cat Mingled With Modern Humans",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Hs1q4f26g4w/,,"2017-10-19 16:00:00","Michelle Z. Donahue"
"Dogs Show 'Sad Puppy Face' More Often When Being Watched",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/K-ZOAo0HI0Q/,,"2017-10-19 14:47:50","Michael Greshko"
"Poachers Target Rescued Circus Lions in Worrying New Trend",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/VsPi9CtGugM/,"At least 20 captive lions in a single province of South Africa have been killed or attacked by poachers so far this year.","2017-10-19 14:47:25","Laurel Neme"
"Stunning Photos Show the Alaska Refuge Under Threat",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/wNu5vcPl_UI/,,"2017-10-18 22:22:00","Sarah Gibbens"
"See the World's First Floating Wind Farm",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/JyHuWhSnXJc/,,"2017-10-18 20:45:34","Sarah Gibbens"
"Jerusalem Find May Have Been Ancient Music Hall",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/MfG72BYBLvM/,,"2017-10-18 15:09:36","Sarah Gibbens"
"A Fresh Perspective on Coexistence",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zKwCwXypMZg/,,"2017-10-17 19:17:23",
"Incredible Photo Catches the Moment a Frog Swallows a Snake",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/eIrURMtROnM/,,"2017-10-17 19:01:09","Sarah Gibbens"
"How Volcanoes Caused Violent Uprisings in Cleopatra's Egypt",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/WVp2N90BZII/,,"2017-10-17 17:03:01","Craig Welch"
"Once Thought Loners, Cougars Revealed to Have Rich Society",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Efqv09Z1kbU/,,"2017-10-17 16:22:00","Michael Greshko"
"Monarch Butterflies Migrate 3,000 Miles—Here's How",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/7Pw2GddsYCY/,,"2017-10-17 04:00:00","Jason Bittel"
"3 Weird Impacts From Storm Ophelia Explained",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Sl8FWVMGg6s/,,"2017-10-16 22:11:31","Elaina Zachos"
"What Are Gravitational Waves, and Why Do They Matter?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/eclSbeYj6BE/,,"2017-10-16 19:03:00","Nadia Drake"
"Here's What We Know About Fiery Oil Rig Explosion",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/8nUtPHYdLOY/,,"2017-10-16 18:26:20","Sarah Gibbens"
"In a First, Gravitational Waves Linked to Neutron Star Crash",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zksofGUNa64/,,"2017-10-16 14:01:00","Nadia Drake"
"North Korean Diplomats Accused of Smuggling Ivory and Rhino Horn",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/qht1qHenh3U/,"A new report identifies at least 18 instances of diplomats being implicated in smuggling, but they've rarely been caught or punished.","2017-10-16 13:53:54","Rachel Nuwer"
"Food for Change",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/4mPKU0VKXYI/,,"2017-10-16 13:50:51",
"Why Race Is Not a Thing, According to Genetics",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/QO4kTYe9u3U/,,"2017-10-14 04:02:39","Simon Worrall"
"Why Do We Call Baby Deer Fawns?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Na_SXZplpxc/,,"2017-10-14 04:01:00","Liz Langley"
"Can We Engineer a Way to Stop a Hurricane?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/pFLMzdGRec8/,,"2017-10-13 19:14:43","Cynthia Barnett"
"The Soviet Military Program that Secretly Mapped the Entire World",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/WBkdnns6PC4/,,"2017-10-13 15:14:51","Greg Miller"
"Queen Ants and Other Insects Bury Their Dead—Here's Why",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/lnn3EF3HNac/,,"2017-10-13 00:00:00","Allie Wilkinson"
"Do Viking Funeral Clothes Reveal Surprising Arabic Lettering?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/WpxNZGeXclA/,,"2017-10-12 22:17:00","Austa Somvichian-Clausen"
"Watch a Daring Rescue of a Kitten From Deep Underground",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/tNn0-uyx-7I/,,"2017-10-12 21:36:59","Heather Brady"
"U.S. to Withdraw From UNESCO. Here's What That Means.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/VA2phRvie2o/,,"2017-10-12 15:23:33","Michael Greshko"
"Some Animals Don't Actually Sleep for the Winter, and Other Surprises About Hibernation",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/2smiG0mcgRQ/,,"2017-10-12 04:01:00","Christie Wilcox"
"Mysterious Blue Whale Behavior Likely Filmed for First Time",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/BZkdwAI3rzo/,,"2017-10-12 04:01:00","Sarah Gibbens"
"Yellowstone Supervolcano May Rumble to Life Faster Than Thought",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Ns0MI0v6Uy0/,,"2017-10-11 21:41:52","Victoria Jaggard"
"Wildfires: How They Form, And Why They're So Dangerous",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/02S8SO9Drd0/,,"2017-10-11 18:27:00","Austa Somvichian-Clausen"
"First Rings Found Circling Weird World Near Pluto",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/QRE5B4U7Agw/,,"2017-10-11 17:00:00","Michelle Z. Donahue"
"Hole the Size of Maine Opens in Antarctica Ice",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Ql7G951HCZs/,,"2017-10-11 16:28:21","Heather Brady"
"Anthrax May Have Killed 100 Hippos in Namibia",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/vcTfzbW9_ys/,,"2017-10-10 21:55:33","Sarah Gibbens"
"Birds Once Turned Black From Pollution—What That Teaches Us Today",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/svi7NZ72UhM/,,"2017-10-10 19:27:15","Sarah Gibbens"
"Squirrels Gone Wild: Their Quirky Behaviors Explained",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/_13pZ5etwKQ/,,"2017-10-10 17:29:32","Sarah Gibbens"
"Warming Oceans May Make ‘Nemo’ Harder to Find",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/66XL2cE7auA/,,"2017-10-10 15:00:00","Craig Welch"
"Friday the 13th Is Back. Here's Why It Scares Us.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/lJhfbJ4yMzU/,,"2017-10-10 14:57:43","Brian Handwerk"
"Life-Size Dolls Have Taken Over This Near-Deserted Town",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/bqf1Kqyrupo/,,"2017-10-10 14:51:38","Austa Somvichian-Clausen"
"Surprise Meteor Lights Up Harvest Moon Festival",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Rr0y5zN5W-4/,,"2017-10-09 20:16:41","Alexandra E. Petri"
"Huge 'Tree Lobster' Not Extinct After All",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/v1Am1N_ZBXo/,,"2017-10-09 19:44:30","Sarah Gibbens"
"How 'Talking' Corpses Were Once Used to Solve Murders",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/q6XXnw8vKxI/,,"2017-10-09 15:50:00","Erika Engelhaupt"
"Poachers Work Across Borders, So Why Not Conservation Efforts?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/CVBI33lHiFk/,"A new study finds that three-quarters of African savanna elephants cross country borders, but the treaty that protects them from the illegal ivory trade doesn’t account for that.","2017-10-09 11:35:43","Rachael Bale"
"Morgan Freeman Seeks What Unites Humankind",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/cAFOptovBWU/,,"2017-10-09 04:12:43","Austa Somvichian-Clausen"
"Nate Sweeps Through Gulf Coast—Here's the Storm Explained",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/0fqDfD2p-Cw/,,"2017-10-08 16:45:00","Brian Clark Howard"
"Watch a Wall of Water Race Up a River",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zBgXXslBQOg/,,"2017-10-07 12:00:00","Michael Greshko"
"This Woman Saved the Americas From the Nazis",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/1ibDQke-snA/,,"2017-10-07 04:02:09","Simon Worrall"
"This Bug's Penis Is a Built-In Violin",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/luBbCBh6JK8/,,"2017-10-07 04:00:00","Liz Langley"
"These Giant Invasive Beasts May Actually Be Good for the Planet",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/AX4v_9fmjQQ/,,"2017-10-06 16:42:44","Emma Marris"
"Largest Marine Protected Area in North America to Be Created off Mexico",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/qv6UNzOONJA/,,"2017-10-06 16:25:00","Brian Clark Howard"
"Inside an Ancient Pagan Ritual That Makes Men Become Monsters",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/nbsssZSxeZY/,,"2017-10-06 16:04:30","Austa Somvichian-Clausen"
"Nearly 900 People Have Won Nobel Prizes. Only 48 Were Women.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/NWTydoSuObI/,,"2017-10-06 13:34:00","Michael Greshko"
